symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
ACE,Heavy Machinery,Industrials,1515.65,17276.6,52.65,18.78,5.78,62.99,35.44,0.07,20.5,215.01,81.24,0.47
HSCL,Commodity Chemicals,Materials,382,17269.79,42.04,5.68,4.09,42.67,24.93,0.14,15.44,190.16,29.65,2.78
JINDALSAW,Building Products - Pipes,Industrials,561.4,17261.96,10.29,1.84,0.82,6.66,6.12,0.74,20.07,138.54,28.01,1.68
POLYMED,Health Care Equipment & Supplies,Health Care,1964.9,17233.11,66.73,13.88,11.99,90.31,40.72,0.17,15.39,71.82,30.5,17.64
AFFLE,Advertising,Communication Services,1240.05,17202.02,57.87,11.72,9.05,66.09,39.94,0,18.48,21.07,-1.13,1.72
BSOFT,IT Services & Consulting,Information Technology,690.85,17064.65,27.36,6.97,3.17,30.42,17.16,0.64,13.18,106.01,-3.61,12.37
ANANDRATHI,Asset Management,Financials,3995.4,17022.03,75.66,25.73,22.64,61.33,52.47,0.34,39.41,364.47,57.05,1.29
DATAPATTNS,Aerospace & Defense Equipments,Industrials,2993.5,17017.73,93.66,14.58,30.08,99999,61.35,0.21,14.24,55.81,50.96,-8.84
NUVAMA,Diversified Financials,Financials,5227.65,16841.48,26.93,7.46,5.33,99999,17.85,0,14.63,100.1,44.41,4.17
CHALET,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,802.45,16813.35,60.44,9.73,11.7,35.26,32.03,0.12,11.31,91.68,20.03,4.03
CAMS,Diversified Financials,Financials,3571.45,16805.74,47.52,18.35,14.28,41.86,29.85,1.36,41.65,63.87,33.4,9.82
GRSE,Shipbuilding,Industrials,1770.4,16721.16,46.81,11.83,4.3,11.53,23.37,0.54,17.08,195.98,108.38,64.67
GSPL,Gas Distribution,Utilities,303.3,16680.91,10.05,1.31,0.95,4.99,5.15,1.69,14.15,2.12,5.35,2.24
IIFL,Investment Banking & Brokerage,Financials,473.2,16680.28,9.46,1.63,1.59,99999,18.92,0.94,18,-5.72,-26.8,20.78
NAVINFLUOR,Specialty Chemicals,Materials,3637.85,16637.96,61.51,7.61,7.66,99999,34.43,0.21,18.62,-21.63,-5.94,5.42
TITAGARH,Rail,Industrials,1486.05,16525.82,57.75,17.15,4.24,403.86,34.47,0.06,14.42,217.94,41.82,15.68
CHAMBLFERT,Fertilizers & Agro Chemicals,Materials,467.65,16264.48,12.75,2.28,0.89,5.02,7.43,1.92,15.22,68.01,34.11,10.37
REDINGTON,Technology Hardware,Information Technology,214.87,16131.92,13.24,2.21,0.18,99999,8.33,0,20.78,14.78,22.5,4.31
JAIBALAJI,Iron & Steel,Materials,883.85,16093.92,18.3,28.94,2.43,50.15,15.07,0,-99999,1064.49,16.14,-6.94
SUVENPHAR,Pharmaceuticals,Health Care,734.4,16092.32,53.59,9.27,14.46,35.69,33.52,0,25.21,51,6.8,16.22
VGUARD,Electrical Components & Equipments,Industrials,410.9,16000.61,62.12,9.95,3.27,37.75,35.67,0.38,12.52,61.14,41.89,12.52
KSB,Industrial Machinery,Industrials,4616.05,15887.87,76.11,12.2,6.94,112.28,46.57,0.38,17.07,111.94,34.72,-1.61
WELCORP,Iron & Steel,Materials,528.75,15822.98,14.26,3.26,0.89,99999,8.28,0.83,4.22,103.44,-1.77,-12.28
KARURVYSYA,Private Banks,Financials,214.82,15819.15,9.86,1.84,1.6,13,5.3,1.22,13.67,73.87,27.38,8.24
IFCI,Specialized Finance,Financials,62.62,15668.48,151.15,2.35,7.4,99999,25.05,0,-3.55,415.39,107.35,3.9
GRINFRA,Construction & Engineering,Industrials,1711.25,15601.26,11.79,2.49,1.66,84.6,8.06,0,26.26,36.94,39.05,7.7
UTISENSETF,Equity,ETF,835.31,15503,99999,99999,99999,99999,99999,0,-99999,22.52,8.58,5.77
APTUS,Home Financing,Financials,347.65,15453.22,25.25,4.63,10.91,99999,23.41,1.45,16.08,29.89,5.36,15.89
RBLBANK,Private Banks,Financials,266.11,15427.68,12.25,1.14,1,99999,5.12,0.58,7.06,54.76,-7.04,2.98
INDIAMART,Online Services,Communication Services,2593.7,15347.83,45.96,8.84,10.91,27.45,26.14,0.78,17.6,-12.23,-7.68,-2.07
JYOTHYLAB,FMCG - Household Products,Consumer Staples,439.15,15312.6,41.45,9.87,5.45,46.6,28.26,0.84,16.23,105.69,-6.83,-0.46
MANAPPURAM,Consumer Finance,Financials,190.26,15269.68,6.98,1.58,1.71,99999,12.92,1.97,16.58,49.63,10.14,6.05
DCMSHRIRAM,Diversified Chemicals,Materials,1037.85,15224.1,34.05,2.33,1.35,19.18,15.34,0.71,7.03,20.65,-6.23,1.38
CONCORDBIO,Pharmaceuticals,Health Care,1575.9,15186.61,49.29,9.95,14.41,57.21,31.76,0.6,21.88,67.15,18.73,8.76
ABSLAMC,Asset Management,Financials,659.1,15162.47,19.43,6.02,9.24,34.67,14.47,2.56,25.31,78.91,40.49,27.74
