symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
DBL,Construction & Engineering,Industrials,525.7,6234.61,32.13,1.56,0.5,2.19,6.62,0,0.02,126.35,34.35,11.25
ARVINDFASN,Textiles,Consumer Discretionary,485.55,6220.82,77.14,5.7,1.44,19.61,13.13,0.27,3.78,46.38,17.14,2.19
JSFB,Private Banks,Financials,734.85,6205.86,9.27,1.73,1.32,8.78,7.2,0,24.92,99.61,99.61,11.59
INDIASHLTR,Home Financing,Financials,725.35,6195.05,25.02,2.7,7.19,99999,28.05,0,13.99,33.17,33.17,26.51
SURYAROSNI,Iron & Steel,Materials,639.25,6181.55,18.78,3.32,0.79,22.06,11.25,0.43,19.67,53.77,10.88,5.52
STLTECH,Telecom Equipments,Communication Services,135.12,6160.94,99999,2.94,1.11,27.26,14.81,0,6.81,-10.78,-9.1,5.95
VAIBHAVGBL,Apparel & Accessories,Consumer Discretionary,325.6,6151.25,48.09,5.11,2.01,48.38,21.16,1.61,9,5.44,-20.67,-14.19
VSTIND,FMCG - Tobacco,Consumer Staples,4093.15,6138.26,20.35,5.2,4.09,33.83,13.27,3.77,29.01,22.37,21.37,3.54
SUNDARMHLD,Diversified Financials,Financials,270.45,6135.62,11.51,1.72,20.65,61.2,24.79,1.47,7.23,178.38,77.75,11.66
TIMETECHNO,Plastic Products,Materials,297.05,6127.08,19.74,2.63,1.22,16.55,9.89,0.74,9.84,153.67,63.04,4.95
TEXRAIL,Rail,Industrials,207.42,6125.18,54.1,4.41,1.71,99999,20.88,0.26,1.91,195.26,16.23,10.26
GOKEX,Apparel & Accessories,Consumer Discretionary,831.85,6122.1,46.74,6.91,2.54,16.6,20.8,0,21.7,73.99,-6.74,-0.7
NESCO,Real Estate,Real Estate,947.05,6118.39,16.86,3.11,7.81,20.63,10.74,0.69,15.87,48.81,10.21,5.49
EPL,Packaging,Materials,192.84,6098.55,28.6,3.06,1.53,10.13,9.39,1.2,11.77,-5.93,-4.01,-0.23
AURIONPRO,IT Services & Consulting,Information Technology,2955.65,6082.46,43.14,11.81,6.78,148.75,30.35,0.09,21.19,192.96,43.22,17.01
ASKAUTOLTD,Auto Parts,Consumer Discretionary,347.25,6077.91,34.98,9.44,2.01,43.86,19.55,0.32,19.28,11.98,21.06,6.72
NIITMTS,Education Services,Consumer Discretionary,445.65,6056.12,28.4,7.86,3.82,37.46,14.46,1.17,29.22,16.36,4.81,-2.31
IIFLSEC,Diversified Financials,Financials,218.2,6044.96,11.8,4.48,2.71,99999,4.64,1.52,19.76,206.46,59.68,25.3
IFBIND,Auto Parts,Consumer Discretionary,1590.8,5999.21,119.13,8.99,1.34,56.85,27.37,0,2.27,96.56,70.49,10.01
SIS,Business Support Services,Industrials,445.25,5998.9,31.57,2.49,0.49,15.21,11.79,0,8.01,9.44,-4.45,5
SHAREINDIA,Investment Banking & Brokerage,Financials,1510.95,5997.68,14.1,5.89,4.03,99999,8.41,0.33,44.54,17.51,-17.71,-7.1
HEMIPROP,Real Estate,Real Estate,192.18,5895.23,99999,16.11,739.68,99999,99999,0,-1.75,93.24,24.19,-5.99
DHANUKA,Fertilizers & Agro Chemicals,Materials,1575.95,5888.26,24.63,5.55,3.28,43.22,16.06,0.46,23.1,96.69,48.4,18.01
GUJALKALI,Commodity Chemicals,Materials,773.4,5873.85,99999,0.96,1.51,6.12,49.11,1.73,6.81,13.48,3.44,-4.75
WABAG,Water Management,Utilities,1142.05,5846.83,23.81,3.71,2.02,68.8,14.14,0,0.83,145.28,80.23,14.79
KESORAMIND,Tires & Rubber,Consumer Discretionary,197.35,5829.6,99999,43,1.3,28.35,22.43,0,-118.89,201.76,16.43,11.83
WELENT,Construction & Engineering,Industrials,462.25,5810.03,19.69,2.46,1.9,16.86,8.08,0.77,34.78,137.05,38.56,16.84
UTKARSHBNK,Diversified Financials,Financials,53.3,5801.22,11.66,2.9,1.62,3.72,4.98,0.77,22.64,10.87,0.57,-0.24
ITDC,Tour & Travel Services,Consumer Discretionary,771.15,5772.28,82.05,17.41,10.52,99999,45.25,0.37,19.45,136.69,65.13,18.44
PDSL,Textiles,Consumer Discretionary,531.45,5767.99,39.99,5.18,0.55,11.31,13.32,0.71,25.87,49.1,-5.28,24.9
ETHOSLTD,"Precious Metals, Jewellery & Watches",Consumer Discretionary,2595.25,5755.11,69.1,9.11,5.62,99999,32.09,0,13.97,95.29,41.17,6.57
GMMPFAUDLR,Industrial Machinery,Industrials,1350.4,5752.05,32.15,7.06,1.66,31.13,12.81,0.08,22.46,-10.77,-12.7,-1.87
SUPRAJIT,Auto Parts,Consumer Discretionary,511.25,5747.51,34.36,4.69,1.94,24.04,15.45,0.6,13.18,32.05,36.64,26.61
PAISALO,Consumer Finance,Financials,71.82,5716.05,31.94,4.92,8.67,99999,31.91,0.16,8.57,186.99,49.39,4.25
DIACABS,Electrical Components & Equipments,Industrials,1127.2,5712.89,335.46,99999,16.6,99999,140.67,0,-99999,4737.77,707.45,3.02
RAIN,Commodity Chemicals,Materials,166.29,5712.83,99999,0.74,0.31,1.86,11.52,0.59,-11.34,-3.82,11.83,1.31
HNDFDS,FMCG - Foods,Consumer Staples,496.3,5657.06,60.82,15.06,2.05,57.08,26.73,0,20.9,-8.94,-11.24,0.66
MAXESTATES,Real Estate,Real Estate,457.2,5636.72,99999,99999,46.87,99999,9836.47,0,2,61.53,39.09,33.2
GABRIEL,Auto Parts,Consumer Discretionary,423.05,5585.59,31.25,6.42,1.63,40.96,17.34,0,16.17,121.67,1.95,14.55
SUDARSCHEM,Diversified Chemicals,Materials,867.35,5582.49,15.62,6.74,1.94,19.45,9.84,0.57,5.39,71.65,65.59,-3.4
PARADEEP,Fertilizers & Agro Chemicals,Materials,79.57,5581.23,55.86,1.59,0.48,99999,14.1,0.73,10.62,36.95,12.71,9.56
TIIL,Industrial Machinery,Industrials,2925,5544.44,20.98,3.84,2.44,40.78,12.53,0,19.1,72.78,8.82,18.25
CSBBANK,Private Banks,Financials,352.1,5536.97,9.77,1.73,1.58,2.5,4.86,0,18.7,31.77,-12.74,1.08
SPANDANA,Consumer Finance,Financials,773.2,5525.79,11.04,1.78,2.18,99999,15.33,0,0.4,12.03,-26.58,-5.4
PRICOLLTD,Auto Parts,Consumer Discretionary,503.25,5514.53,39.22,7.83,2.41,33.16,19.35,0,19.48,113.2,41.12,10.38
SANSERA,Auto Parts,Consumer Discretionary,1272.1,5502.52,29.62,4.66,1.96,21.46,12.96,0.29,13.19,50.28,29.4,15.29
TIPSINDLTD,Movies & TV Serials,Communication Services,452,5500.51,43.25,40.39,21.49,66.85,31.19,1.4,64.15,103.56,23.72,-99999
JAICORPLTD,Textiles,Consumer Discretionary,378.2,5493.57,104.58,3.78,10.99,76.36,63.59,0.16,-0.93,120.91,2.17,28.81
RSYSTEMS,IT Services & Consulting,Information Technology,494.1,5460.89,38.98,6.41,3.22,25.84,21.19,1.47,20.05,22.26,-11.4,1.93
TARC,Real Estate,Real Estate,189.49,5432.72,99999,4.02,44.75,99999,118.62,0,1.52,204.65,32.93,18.78
AARTIPHARM,Labs & Life Sciences Services,Health Care,640.15,5411.28,24.95,3.47,2.91,20.58,14.23,0.5,13.14,62.93,28.62,5.06
SHAKTIPUMP,Industrial Machinery,Industrials,2995.75,5403.47,38.13,12.93,3.93,139.66,23.91,0.14,5.95,404.55,208.16,3
GOCOLORS,Apparel & Accessories,Consumer Discretionary,1056.05,5380.65,64.99,10.34,6.9,51.87,21.6,0,17.27,-5.87,-18.66,5.7
INOXWIND,Heavy Electrical Equipments,Industrials,139.08,5378.15,99999,2.38,2.99,99999,26.05,0,-32.29,244.04,35.42,-8.93
ICRA,Stock Exchanges & Ratings,Financials,5847.3,5346.44,35.39,5.6,10.26,53.86,21.72,1.81,15,18.52,5.9,5.62
BALMLAWRIE,Conglomerates,Industrials,267.35,5319.07,20.34,3.11,2.23,25.6,14.12,0,10.31,92.55,39.97,-13.13
TDPOWERSYS,Heavy Electrical Equipments,Industrials,376.55,5317.59,44.93,8.8,5.23,60.05,28.04,0.18,17.11,73.81,30.34,17.71
EPIGRAL,Commodity Chemicals,Materials,1331.35,5297.44,27.05,4.05,2.74,13.32,12.71,0.39,15.74,15.27,44.59,5.34
DYNAMATECH,Auto Parts,Consumer Discretionary,7768.55,5269.18,43.26,9.72,3.43,40.22,22.16,0.13,9.27,117.37,72.87,-8.51
DODLA,FMCG - Foods,Consumer Staples,1047.25,5258.27,31.54,4.62,1.67,99999,15.84,0,15.8,86.23,26.15,5.75
CYIENTDLM,Industrial Machinery,Industrials,720.35,5242.92,85.67,5.77,4.3,99999,35.28,0,11.06,71.27,7.95,1.79
GATEWAY,Logistics,Industrials,103.46,5233.77,20.43,2.9,3.36,16.15,14.12,0,13.82,39.06,2.84,-4.18
NFL,Fertilizers & Agro Chemicals,Materials,125.91,5217.3,34.77,2.05,0.22,99999,11.45,0,19.84,78.98,51.52,18.19
DBCORP,Publishing,Communication Services,313.35,5210.98,12.25,2.68,2.1,21.34,7.43,3.76,8.83,124.46,17.12,12.56
ORCHPHARMA,Pharmaceuticals,Health Care,1160.1,5208.6,56.51,7.56,6.13,284,38.92,0,6.93,165.74,63.22,-0.28
RALLIS,Fertilizers & Agro Chemicals,Materials,328,5202.04,35.18,2.84,1.95,19.33,15.38,0.93,8.31,69.25,26.93,18.02
JAMNAAUTO,Auto Parts,Consumer Discretionary,127.06,5196.21,25.3,6.63,2.14,15.09,15.61,1.84,22.93,31.94,16.73,-4.14
GOLDBEES,Gold,ETF,60.71,5168.88,99999,99999,99999,99999,99999,0,-99999,20.15,15.44,-3.64
ASHOKA,Construction & Engineering,Industrials,222.14,5110.57,10.16,2.59,0.51,10.38,2.64,0,20.76,177.33,53.25,27.34
BBL,Heavy Electrical Equipments,Industrials,4902.9,5092.45,38.74,3.7,2.67,98.52,25.38,0.39,6.65,218.23,149.11,15.73
VRLLOG,Logistics,Industrials,566.1,5072.3,57.08,5.2,1.74,15.93,13.75,0,39.72,-19.97,-28.79,-0.4
TEAMLEASE,Employment Services,Industrials,2821.7,5051.99,45.05,6.16,0.54,40.02,26.19,0,14.59,17.2,-1.79,-14.47
PATELENG,Construction & Engineering,Industrials,71.57,5049.55,18.72,1.7,1.07,7.29,7.85,0,6.76,141.38,13.42,14.12
JKIL,Construction & Engineering,Industrials,867.35,5045.38,15.25,2.16,1.03,27.59,7.12,0.6,12.4,175.96,74.64,41.42
HCG,Hospitals & Diagnostic Centres,Health Care,382.6,5041.59,104.73,5.8,2.61,20.04,16.4,0,3.35,21.44,4.59,6.42
RBA,Restaurants & Cafes,Consumer Discretionary,107.88,5016.18,99999,5.93,2.04,40.36,22.65,0,-23.11,-5.04,-3.85,3.45
