Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HEROMOTOCO,2022-10-18,2562,2022-11-24,2673.1,111.1,4.34,37,42.81
SHREECEM,2022-10-19,21324,2022-11-25,23204.35,1880.35,8.82,37,87.01
TATACONSUM,2022-10-20,770.7,2022-12-16,801.55,30.85,4,57,25.61
M&M,2022-10-20,1250,2022-11-11,1287.1,37.1,2.97,22,49.28
SBILIFE,2022-10-21,1246.35,2022-11-17,1254.35,8,0.64,27,8.65
APOLLOHOSP,2022-10-21,4389.05,2022-11-04,4362.6,-26.45,-0.6,14,-15.64
MARUTI,2022-10-24,8765.45,2022-11-11,9087.55,322.1,3.67,18,74.42
BPCL,2022-10-24,300.75,2022-12-19,341.3,40.55,13.48,56,87.86
ADANIPORTS,2022-10-24,805.5,2022-11-24,876.65,71.15,8.83,31,103.97
DIVISLAB,2022-10-27,3621.05,2022-11-07,3414.55,-206.5,-5.7,11,-189.14
ASIANPAINT,2022-11-03,3141.3,2022-12-16,3055.9,-85.4,-2.72,43,-23.09
INDUSINDBK,2022-11-22,1169.4,2022-12-22,1180.15,10.75,0.92,30,11.19
HINDUNILVR,2022-11-22,2515.7,2022-12-21,2666.2,150.5,5.98,29,75.27
DIVISLAB,2022-11-28,3375.55,2023-01-12,3305.3,-70.25,-2.08,45,-16.87
SBILIFE,2022-11-29,1258.4,2022-12-16,1254.15,-4.25,-0.34,17,-7.3
M&M,2022-11-30,1305.6,2023-02-13,1353,47.4,3.63,75,17.67
BAJAJ-AUTO,2022-11-30,3750.7,2023-02-21,3837.1,86.4,2.3,83,10.11
TITAN,2022-12-01,2638.7,2023-02-23,2394.5,-244.2,-9.25,84,-40.19
