date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,BDL,Aerospace & Defense,Industrials,555.6,20367,115.63,6.34,8.25,9.56,34.28,0.82,10.97,36.63,15,17.26,12.08
2023-06-01,LICHSGFIN,Mortgage Finance,Financial Services,377.1,20743,7.17,0.76,3.24,-1.06,12.84,2.23,10.63,0.24,-4.19,5.09,6.18
2023-06-01,RAJESHEXPO,Luxury Goods,Consumer Cyclical,552.55,16315,11.39,1.11,0.05,35.71,9.65,0.08,9.73,0.28,-24.03,-12.14,-0.05
2023-06-01,RAMCOCEM,Building Materials,Basic Materials,908.3,21463,66.01,3.13,2.63,15.21,21.69,0.33,4.58,31.18,31.42,23.7,22.4
2023-06-01,ENDURANCE,Auto Parts,Consumer Cyclical,1461.15,20553,42.86,4.66,2.33,23.84,19.4,0.43,10.87,12.81,-2.9,15.96,7.52
2023-06-01,DEVYANI,Restaurants,Consumer Cyclical,185.1,22304,84.52,22.99,7.44,35.01,35.5,0,27.31,9.04,-1.54,21.74,8.5
2023-06-01,PSB,Banks - Regional,Financial Services,33.55,22740,17.29,1.51,5.81,15.92,3.52,0.92,8.69,117.15,44.3,18.76,-10.41
2023-06-01,DIXON,Consumer Electronics,Technology,3909.5,23286,91.73,18.12,1.91,32.08,45.2,0.05,19.89,0.44,-10.64,31.29,34.39
2023-06-01,KAJARIACER,Building Products & Equipment,Industrials,1269.4,20213,58.71,8.69,4.61,68.4,33.21,0.71,14.81,20.47,7.08,17.71,16.13
2023-06-01,WHIRLPOOL,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1434.45,18200,83.11,5.17,2.73,67.49,34.78,0.35,6.22,-13.41,-6.61,8.6,8.93
2023-06-01,MAHABANK,Banks - Regional,Financial Services,31.35,21101,8.1,1.34,2.11,-14.65,1.12,1.59,16.5,77.62,14.63,13.18,4.5
2023-06-01,SUNTV,Broadcasting,Communication Services,453.1,17856,10.46,1.93,4.73,8.52,7.31,3.31,18.4,2.34,-7.84,3.09,4.18
2023-06-01,PEL,Financial Conglomerates,Financial Services,782.45,18675,1.88,0.6,2.27,13.55,6.43,4.22,32.1,-26.71,-8.99,-0.05,5.38
