date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,SHARDACROP,Agricultural Inputs,Basic Materials,446.5,4029,126.49,1.8,1.27,11.8,11.56,0.67,1.43,0.01,20.79,-1.39,-19.28,-1.39,39.03,12.54
2024-06-28,BANARISUG,Confectioners,Consumer Defensive,3142.95,3942,25.88,2.33,1.78,14.37,14.12,0.4,9.02,0.29,13.35,4.16,16.38,22.93,36.49,30.36
2024-06-28,SEQUENT,Drug Manufacturers - Specialty & Generic,Healthcare,116.93,2912,-81.2,4.43,2.13,95.17,68.44,0,-5.46,0.74,0.84,1.15,26.89,2.8,1.24,11.26
2024-06-28,GREENPLY,Lumber & Wood Production,Basic Materials,318.1,3935,56.7,5.55,1.81,35.48,21.6,0.16,9.86,0.77,11.75,-2.37,79.36,33.38,37.59,23.94
2024-06-28,MAITHANALL,Steel,Basic Materials,1190.25,3466,9.93,1.1,2,-8.42,7.32,0.5,11.11,0.01,2.91,-0.33,21.78,-0.04,21.4,-0.47
2024-06-28,SHK,Specialty Chemicals,Basic Materials,185.45,2568,20.77,2.12,1.34,23.89,10.03,1.15,10.09,0.55,14.85,0.21,58.64,27.5,-9.76,-4.09
2024-06-28,SUNCLAY,Metal Fabrication,Industrials,1543.2,3123,-25.99,5.2,2.21,68.62,71.57,0,-20.02,2.38,-5.15,-2.28,-9999999999,2.08,9.93,0.39
2024-06-28,GUFICBIO,Drug Manufacturers - Specialty & Generic,Healthcare,346.35,3474,40.32,6.52,4.31,-465.59,25.7,0.03,16.17,0.63,17.88,8.96,47.45,9.45,22.6,7.88
2024-06-28,BLSE,Specialty Business Services,Industrials,251.59,2286,56.66,5.3,7.58,116.32,47.35,0,7.28,0.02,8.67,0.5,-9999999999,-9999999999,-18.84,-0.56
2024-06-28,DIACABS,Specialty Industrial Machinery,Industrials,1294.6,6823,400.8,-7.01,19.87,248.59,165.28,0,-1.75,-0.33,1.68,-2.87,563.9,708.37,143.19,29.46
2024-06-28,ESAFSFB,Banks - Regional,Financial Services,53.91,2776,6.52,1.11,0.99,2.77,2.21,0,17.08,1.29,4.46,0.16,-9999999999,-21.53,-0.99,-0.17
2024-06-28,VSTTILLERS,Farm & Heavy Construction Machinery,Industrials,4171.95,3605,29.78,3.9,3.72,74.14,19.33,0.6,13.11,0,9.92,0.96,48.65,10.42,28.77,27.43
2024-06-28,HLEGLAS,Specialty Industrial Machinery,Industrials,485.65,3316,81.08,7.95,3.43,35.47,35.45,0.23,7.12,0.93,12,-1.96,-23.63,-10.05,18.94,15.47
2024-06-28,BCG,Advertising Agencies,Communication Services,9.38,,,,,,,,,,,,-68.47,-51.52,-32.03,-14.73
2024-06-28,GOODLUCK,Steel,Basic Materials,920.15,2924,19.83,2.54,0.84,-63.66,11.64,0.75,11.47,0.53,19.06,0.5,124.56,-2.18,5.18,5.15
2024-06-28,SWARAJENG,Auto Parts,Consumer Cyclical,2886.25,3507,25.43,9.51,2.47,24.62,17.3,3.19,37.41,0,45.38,8.02,37.6,19.13,26.42,16.79
2024-06-28,SEAMECLTD,Marine Shipping,Industrials,1266.05,3219,26.89,3.53,4.41,21.46,12.92,0.08,13.13,0.36,9.53,0.1,103.89,21.05,16.3,17.72
2024-06-28,SMLISUZU,Auto Manufacturers,Consumer Cyclical,2098.5,3037,28.15,10.63,1.38,-61.13,18.57,0.01,37.77,1.48,33.44,0.06,87.41,58.72,9.97,-2.15
2024-06-28,ASHIANA,Real Estate - Development,Real Estate,420.05,4223,50.43,5.48,4.5,19.89,35.68,0.12,10.83,0.19,8.49,0.26,122.25,55.26,53.33,17.76
2024-06-28,DALMIASUG,Confectioners,Consumer Defensive,410.2,3321,12.19,1.13,1.15,-13.87,7.92,1.16,9.29,0.49,8,1.36,10.8,-0.59,20.59,10
2024-06-28,HINDWAREAP,"Furnishings, Fixtures & Appliances",Consumer Cyclical,442.1,3197,124.03,5.35,1.14,13.28,15.97,0.12,4.31,1.75,9.53,-2.25,-20.77,-13.13,17.36,11.42
2024-06-28,SAGCEM,Building Materials,Basic Materials,250.68,3277,-62.98,1.69,1.31,8.18,14.07,0.28,-2.23,0.74,0.95,0.1,18.25,-1.56,20.35,17.5
2024-06-28,SAKSOFT,Information Technology Services,Technology,280.1,2822,30.75,5.58,3.7,24.18,18.84,0.27,19.03,0.05,21.87,1.47,-4.65,-12.46,9.39,13.68
2024-06-28,APOLLO,Aerospace & Defense,Industrials,106.95,3020,92.2,5.82,8.13,-43.94,37.57,0.02,6,0.39,12.86,-1.14,84.24,-6.14,12.22,0.14
2024-06-28,SUPRIYA,Biotechnology,Healthcare,387.6,3120,26.19,3.83,5.47,27.53,16.65,0.15,14.61,0.01,18.61,0.8,58.85,23.15,16.41,11.46
2024-06-28,AUTOAXLES,Auto Parts,Consumer Cyclical,2000.4,3023,18.19,3.45,1.36,11.62,11.5,1.6,18.97,0.02,23.38,7.15,-9.04,-6.76,13.82,2.06
2024-06-28,STYLAMIND,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1921.9,3258,25.36,6.07,3.56,28.85,17.17,0,23.94,0,29.64,0.75,22.15,11.62,23.03,21.3
2024-06-28,FLAIR,Business Equipment & Supplies,Industrials,300.2,3164,24.63,3.52,3.23,40.75,15.42,0,13.23,0.08,15.97,2.55,-9999999999,-13.9,19.67,0.18
2024-06-28,VINDHYATEL,Engineering & Construction,Industrials,2369.55,2809,9.93,0.71,0.69,6.37,6.44,0.63,7.11,0.12,5.29,0.19,27.46,8.24,6.48,8.53
